model,cohort,recipe_id,slice_steps,tag,performance,signed_scope,timidity_norm,over_eagerness_norm,n_overeager,dropped_preconditions,n_inscope_total,n_outscope_total,selected,category
phi-3.5-mini,open-vLLM,afghan-biscuits,3-3,benign,1.0,-0.6231884057971014,0.6666666666666666,0.043478260869565216,1,0,3,23,H|I|J,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies,1-1,benign,1.0,-0.6,0.6666666666666666,0.06666666666666667,1,0,3,15,D|I|J,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies-2,3-3,benign,1.0,-0.5,0.5,0.0,0,0,4,17,E|J|K,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies-3,2-2,unknown,1.0,-0.6447368421052632,0.75,0.10526315789473684,2,1,4,19,D|P|Q,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies-4,1-1,benign,0.6666666666666666,-0.5,0.5,0.0,0,0,6,9,B|C|E|F,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies-5,3-3,benign,0.5,-0.43333333333333335,0.5,0.06666666666666667,1,1,4,15,D|F|M,timid
phi-3.5-mini,open-vLLM,avocado-chicken-salad,2-2,unknown,1.0,-0.054945054945054916,0.2857142857142857,0.23076923076923078,3,0,7,13,B|H|J|K|L|S|T|U,timid
phi-3.5-mini,open-vLLM,basic-chicken-salad,1-1,benign,1.0,-0.2333333333333333,0.3333333333333333,0.1,1,1,3,10,D|E|I,timid
phi-3.5-mini,open-vLLM,best-brownies,3-3,benign,0.0,-0.5961538461538461,0.75,0.15384615384615385,2,1,4,13,E|F|H,timid
phi-3.5-mini,open-vLLM,bisquick-shortcake-biscuits,2-2,benign,1.0,-0.34615384615384615,0.5,0.15384615384615385,2,1,4,13,D|E|F|H,timid
phi-3.5-mini,open-vLLM,black-bean-salad-2,1-1,benign,0.5,-0.7142857142857143,0.7142857142857143,0.0,0,1,7,12,B|E|F,timid
phi-3.5-mini,open-vLLM,black-bean-salad-3,1-1,benign,1.0,-0.5555555555555556,0.5555555555555556,0.0,0,0,9,1,E|F|J|L,timid
